Stock Name,Sector,Percentage Invested,Money Invested,Count,Nifty Weightage,Market Cap
Arvind Ltd.,Textiles,1.67,28.694000000000003,4,,
India Cements Ltd.,Materials,0.99,13.0879,4,,
Century Textiles & Industries Ltd.,Consumer Staples,2.2,161.223,4,,
Century Enka Ltd.,Textiles,2.16,19.3579,4,,
Bata India Ltd.,Consumer Discretionary,2.73,386.92359999999996,4,,
Bayer CropScience Ltd.,Chemicals,1.6600000000000001,343.958,4,,
V-Mart Retail Ltd.,Services,2.3600000000000003,93.96520000000001,4,,
VST Tillers Tractors Ltd.,Automobile,1.68,180.257,4,,
Blue Dart Express Ltd.,Services,2.59,187.4236,4,,
Blue Star Ltd.,Consumer Discretionary,3.46,265.521,4,,
Automotive Axles Ltd.,Automobile,1.4300000000000002,153.21970000000002,4,,
Vardhman Textiles Ltd.,Textiles,0.9299999999999999,122.4594,4,,
Varroc Engineering Pvt Ltd.,Automobile,0.87,45.617000000000004,4,,
C.E. Info Systems Ltd.,Technology,3.08,37.87,4,,
CESC Ltd.,Energy,1.77,46.7946,4,,
Can Fin Homes Ltd.,Financial,5.23,165.02280000000002,4,,
Ashiana Housing Ltd.,Construction,1.73,71.89590000000001,4,,
Tube Investments Of India Ltd.,Financial,2.63,96.577,4,,
Ceat Ltd.,Automobile,0.8200000000000001,153.47320000000002,4,,
Esab India Ltd.,Capital Goods,3.58,147.5322,4,,
EID-Parry (India) Ltd.,Consumer Staples,2.75,62.0189,4,,
Fine Organic Industries Ltd.,Chemicals,2.13,254.05419999999998,4,,
Westlife Development Ltd.,Services,2.15,58.512699999999995,4,,
TI Financial Holdings Ltd.,Automobile,5.720000000000001,659.3943,4,,
Graphite India Ltd.,Capital Goods,3.29,150.4107,4,,
Grasim Industries Ltd.,Materials,3.39,23.071800000000003,4,0.82,"1,03,132"
Ador Welding Ltd.,Capital Goods,0.93,30.4071,4,,
TCNS Clothing Co Ltd.,Textiles,1.86,39.6666,4,,
TCI Express Ltd.,Services,2.37,36.967600000000004,4,,
Suven Pharmaceutical Ltd.,Healthcare,1.97,58.523700000000005,4,,
HG Infra Engineering Ltd.,Construction,2.67,165.4728,4,,
Wipro Ltd.,Technology,2.52,29.7339,4,1.15,"2,66,105"
Supreme Industries Ltd.,Materials,3.96,286.70799999999997,4,,
Zensar Technologies Ltd.,Technology,0.8600000000000001,65.9464,4,,
AU Housing Finance Ltd.,Financial,3.9299999999999997,84.08250000000001,4,,
APL Apollo Tubes Ltd.,Metals & Mining,3.1799999999999997,184.76909999999998,4,,
Home First Finance Company India Ltd.,Financial,5.33,62.2555,4,,
Zydus Lifesciences Ltd.,Healthcare,1.04,51.0432,4,,
Subros Ltd.,Automobile,1.3399999999999999,60.0886,4,,
Stylam Industries Ltd.,Materials,2.23,39.0817,4,,
Ahluwalia Contracts (India) Ltd.,Construction,2.46,34.0956,4,,
Bandhan Bank Ltd.,Financial,7.140000000000001,156.7944,4,,
Welspun Corp Ltd.,Metals & Mining,4.12,36.532199999999996,4,,
TVS Motor Co. Ltd.,Automobile,3.89,307.71479999999997,4,,
Finolex Cables Ltd.,Capital Goods,0.72,110.79140000000001,4,,
Genus Power Infrastructures Ltd.,Capital Goods,1.55,99.6712,4,,
Tata Chemicals Ltd.,Chemicals,2.27,136.7235,4,,
G R Infra Projects Ltd.,Construction,5.59,38.6753,4,,
Glenmark Pharmaceuticals Ltd.,Healthcare,1.48,14.1173,4,,
Quess Corp Ltd.,Financial,1.19,25.0495,1,,
Varun Beverages Ltd.,Consumer Staples,2.72,132.9264,1,,
Zydus Wellness Ltd.,Consumer Staples,0.76,146.0264,1,,
Primax Electronics Ltd.,Capital Goods,0.56,6.888000000000001,1,,
Valiant organics Ltd,Healthcare,0.14,26.8996,1,,
Pokarna Ltd.,Materials,0.47,90.3058,1,,
United Health Group Inc.,Healthcare,0.88,63.8,1,,
Wendt (India) Ltd.,Metals & Mining,1.21,50.92889999999999,1,,
RateGain Travel Technologies Ltd.,Technology,0.19,3.9995,1,,
Voltamp Transformers Ltd,Capital Goods,0.56,107.5984,1,,
Xtep International Holdings Ltd.,Consumer Staples,2.15,26.445,1,,
Xinyi Solar Holdings Ltd.,Materials,1.71,21.033,1,,
Visa Inc,Financial,0.83,60.175,1,,
Prism Cement Ltd.,Materials,1.31,55.1379,1,,
Vindhya Telelinks Ltd.,Communication,0.55,105.677,1,,
Polyplex Corporation Ltd.,Materials,1.21,232.4894,1,,
Vesuvius India Ltd.,Capital Goods,0.15,28.820999999999998,1,,
Whirlpool Of India Ltd.,Consumer Discretionary,0.59,42.6924,1,,
Procter & Gamble (USA),Consumer Staples,0.78,56.55,1,,
Procter & Gamble Hygiene & Health Care Ltd.,Consumer Staples,0.54,22.0482,1,,
WPIL Ltd.,Capital Goods,0.38,27.496799999999997,1,,
West Coast Paper Mills Ltd.,Consumer Staples,0.74,142.1836,1,,
RailTel Corporation India Ltd.,Communication,0.76,7.8660000000000005,1,,
Trent Ltd.,Services,0.57,11.9985,1,,
Raymond Ltd.,Textiles,0.71,136.4194,1,,
Somany Ceramics Ltd.,Materials,2.38,172.2168,1,,
Shopper's Stop Ltd,Services,1.0,72.36,1,,
Tata Coffee Ltd.,Consumer Staples,0.3,57.641999999999996,1,,
Taiwan Semiconductor Manufacturing Co Ltd. (Taiwan),Capital Goods,0.6,43.5,1,,
Shriram Properties Pvt Ltd.,Construction,0.23,44.1922,1,,
"Shyam Metalics and Energy Ltd,",Metals & Mining,2.2,159.192,1,,
TTK Prestige Ltd.,Consumer Discretionary,1.89,137.025,1,,
TD Power Systems Ltd.,Capital Goods,0.36,69.1704,1,,
Syngene International Ltd.,Healthcare,0.51,9.2667,1,,
Supriya Lifescience Ltd.,Healthcare,0.69,132.57659999999998,1,,
Tata Sponge Iron Ltd.,Metals & Mining,0.79,151.7906,1,,
Sona Koyo Steering Systems Ltd.,Automobile,0.25,48.035,1,,
Sunteck Realty Ltd.,Construction,1.35,28.4445,1,,
Sundaram Finance Ltd.,Financial,3.07,222.575,1,,
Sundaram Finance Holdings Ltd.,Financial,0.34,65.3276,1,,
Sriman Organic Chemical Inds. Ltd.,Chemicals,0.02,3.8428000000000004,1,,
Star Health & Allied Insurance Co. Ltd.,Insurance,1.65,17.0775,1,,
Steel Authority Of India Ltd.,Metals & Mining,2.02,98.7174,1,,
Styrolution ABS (India) Ltd.,Chemicals,0.25,48.035,1,,
Sheela Foam Ltd.,Consumer Discretionary,4.63,335.0268,1,,
Tega Industries Ltd.,Metals & Mining,0.5,58.95,1,,
United Breweries Ltd.,Consumer Staples,1.17,48.34439999999999,1,,
Triveni Engineering & Industries Ltd.,Consumer Staples,0.51,97.9914,1,,
Rites Ltd.,Construction,0.66,29.0004,1,,
Roche Holding AG Gen (UK),Financial,0.74,53.65,1,,
Rossari Biotech Ltd.,Chemicals,1.41,14.593499999999999,1,,
Union Pacific Corporation,Services,0.78,56.55,1,,
Rossell India Ltd.,Consumer Staples,0.37,7.7959000000000005,1,,
Route Mobile Ltd.,Technology,0.67,6.934500000000001,1,,
Unilever PLC,Consumer Staples,2.48,30.504,1,,
S.J.S Enterprises Ltd.,Automobile,0.34,40.086000000000006,1,,
SIRCA Paints India Ltd.,Materials,1.06,43.2798,1,,
Tejas Networks Ltd.,Communication,1.28,245.93920000000003,1,,
Travelsky Technology (HongKong),Services,0.56,6.888000000000001,1,,
Transport Corporation Of India Ltd.,Services,1.28,26.944000000000003,1,,
SP Apparels Ltd.,Textiles,0.34,3.9644000000000004,1,,
SRF Ltd.,Diversified,1.45,63.713,1,,
Sadbhav Engineering Ltd.,Construction,0.22,9.2598,1,,
Sagar Cements Ltd.,Materials,1.59,77.70330000000001,1,,
Texmaco Rail & Engineering Ltd.,Capital Goods,0.19,36.5066,1,,
Texas Instruments Inc. (US),Capital Goods,0.69,50.025,1,,
3M India Ltd.,Diversified,0.63,62.0487,1,,
KPIT Engineering Ltd.,Technology,2.5,480.35,1,,
Pfizer Ltd.,Healthcare,0.6,115.28399999999999,1,,
DCB Bank Ltd.,Financial,0.77,18.0488,1,,
Dishman Carbogen Amcis Ltd.,Healthcare,0.62,13.0634,1,,
Disa India Ltd.,Capital Goods,1.09,45.8781,1,,
Diageo Plc,Consumer Staples,0.69,50.025,1,,
Dhanuka Agritech Ltd.,Chemicals,0.72,52.0992,1,,
Devyani International Ltd.,Services,2.45,25.3575,1,,
Data Pattern'S (India) Ltd.,Capital Goods,1.77,18.3195,1,,
Dabur India Ltd.,Consumer Staples,0.78,91.962,1,,
Crompton Greaves Ltd.,Capital Goods,0.89,64.525,1,,
Dr. Lal Pathlabs Ltd.,Healthcare,1.25,22.7125,1,,
Craftsman Automation Ltd.,Automobile,2.22,9.501600000000002,1,,
Cognizant Technology Solutions Corp.,Technology,1.72,72.39479999999999,1,,
Chennai Petroleum Corpn. Ltd.,Energy,0.39,16.4151,1,,
Chambal Fertilisers & Chemicals Ltd.,Chemicals,0.99,190.2186,1,,
Cera Sanitaryware Ltd.,Materials,2.73,63.9912,1,,
Century Plyboards (India) Ltd.,Materials,5.85,423.306,1,,
Caplin Point Laboratories Ltd.,Healthcare,0.72,8.395199999999999,1,,
Dodla Dairy Ltd.,Consumer Staples,1.0,10.35,1,,
EIH Ltd.,Services,0.83,36.4702,1,,
Brookfield India Real Estate Trust REIT,Construction,4.33,53.25899999999999,1,,
Finolex Industries Ltd.,Materials,2.51,30.872999999999998,1,,
Greenlam Industries Ltd.,Materials,0.86,20.1584,1,,
Godrej Industries Ltd.,Diversified,3.58,12.923800000000002,1,,
Godrej Agrovet Ltd.,Consumer Staples,0.29,55.7206,1,,
Glenmark Life Sciences Ltd.,Healthcare,1.39,29.287300000000002,1,,
